candidate_id,beam_id,annotation_id,raw_text,outcome,priority,reasons,quantity_status,crop_qa_status,crop_w_mm,crop_h_mm,local_crop,beam_context_crop,vision_status,norm_hint
VC::B17::ANN-05a41462,B17,ANN-05a41462,2L-Y12@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,6914.830000001937,82932.46091661975,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B17__ANN-05a41462\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B17__ANN-05a41462\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B186::ANN-b70254d7,B186,ANN-b70254d7,4L-Y12@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,4457.669999998063,36490.150000002235,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B186__ANN-b70254d7\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B186__ANN-b70254d7\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B46::ANN-a09ab748,B46,ANN-a09ab748,4L-Y10@\X100/150/100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,7522.188000001013,4741.579999998212,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B46__ANN-a09ab748\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B46__ANN-a09ab748\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B47::ANN-f268d884,B47,ANN-f268d884,4L-Y10@\X100/150/100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,3900.0,4638.980000000447,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B47__ANN-f268d884\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B47__ANN-f268d884\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B52::ANN-1097a989,B52,ANN-1097a989,2L-Y12@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,14325.120000001043,76690.1099999994,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B52__ANN-1097a989\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B52__ANN-1097a989\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B58::ANN-a0c82bbe,B58,ANN-a0c82bbe,3L-Y12@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,18472.569000001997,4412.989999998361,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B58__ANN-a0c82bbe\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B58__ANN-a0c82bbe\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B58::ANN-c7a04160,B58,ANN-c7a04160,Ld,DEFERRED,P3,DEFER_ENGINEERING_RULE|NON_QUANTITY_NOTE,UNRESOLVED,PASS,18472.569000001997,4412.989999998361,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B58__ANN-c7a04160\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B58__ANN-c7a04160\beam_context_crop.png,PENDING,
VC::B59::ANN-5c42e85c,B59,ANN-5c42e85c,3L-Y10@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,9140.329999998212,80147.94999999925,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B59__ANN-5c42e85c\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B59__ANN-5c42e85c\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B71::ANN-65a3f3f0,B71,ANN-65a3f3f0,4L-Y12@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,13141.055999998003,6512.604650691152,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B71__ANN-65a3f3f0\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B71__ANN-65a3f3f0\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B71::ANN-e8fa1fe7,B71,ANN-e8fa1fe7,3L-Y10@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,13141.055999998003,6512.604650691152,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B71__ANN-e8fa1fe7\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B71__ANN-e8fa1fe7\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B74::ANN-5a3a4c53,B74,ANN-5a3a4c53,4L-Y10@\X100/125/100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,13182.35399999842,5091.656156551093,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B74__ANN-5a3a4c53\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B74__ANN-5a3a4c53\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B76::ANN-8c653af8,B76,ANN-8c653af8,4L-Y10@\X100/125/100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,5279.980000000447,13677.179999999702,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B76__ANN-8c653af8\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B76__ANN-8c653af8\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B80::ANN-88fbe813,B80,ANN-88fbe813,2L-Y8@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,3802.289999999106,51771.04000000283,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B80__ANN-88fbe813\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B80__ANN-88fbe813\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B81::ANN-bab0ba0e,B81,ANN-bab0ba0e,2L-Y8@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,5491.050000000745,90369.58999999985,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B81__ANN-bab0ba0e\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B81__ANN-bab0ba0e\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B82::ANN-4679b76c,B82,ANN-4679b76c,4L-Y12@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED,PASS,4463.800000000745,3108.179999999702,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B82__ANN-4679b76c\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B82__ANN-4679b76c\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B86::ANN-765d8183,B86,ANN-765d8183,4L-Y12@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,4140.0,60956.810000002384,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B86__ANN-765d8183\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B86__ANN-765d8183\beam_context_crop.png,PENDING,possible_spacing_token_corruption
VC::B96A::ANN-2a029aa5,B96A,ANN-2a029aa5,SIDE.FACE.REINFORCEMENT. DETAILS FOR BEAM,DEFERRED,P3,SEMANTIC_CONTEXT_REQUIRED|NON_QUANTITY_NOTE|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,4831.142690941691,76745.5669096075,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B96A__ANN-2a029aa5\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B96A__ANN-2a029aa5\beam_context_crop.png,PENDING,
VC::B96A::ANN-9114a4de,B96A,ANN-9114a4de,S.F.R.ON EACH FACE,DEFERRED,P3,SEMANTIC_CONTEXT_REQUIRED|NON_QUANTITY_NOTE|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED,FAIL,4831.142690941691,76745.5669096075,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B96A__ANN-9114a4de\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B96A__ANN-9114a4de\beam_context_crop.png,PENDING,
VC::B96A::ANN-92cee6f4,B96A,ANN-92cee6f4,Ld+10bd+10db,DEFERRED,P3,DEFER_ENGINEERING_RULE|NON_QUANTITY_NOTE,UNRESOLVED,FAIL,4831.142690941691,76745.5669096075,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B96A__ANN-92cee6f4\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B96A__ANN-92cee6f4\beam_context_crop.png,PENDING,
VC::B96A::ANN-f735db93,B96A,ANN-f735db93,Ld+10bd+10db,DEFERRED,P3,DEFER_ENGINEERING_RULE|NON_QUANTITY_NOTE,UNRESOLVED,FAIL,4831.142690941691,76745.5669096075,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B96A__ANN-f735db93\local_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP252_vision_candidate_set\candidates\VC__B96A__ANN-f735db93\beam_context_crop.png,PENDING,
