candidate_id,beam_id,annotation_text,deterministic_type,deterministic_role,deterministic_status,vision_type,vision_role,vision_status,operational_class,comparison_class,arbitration_action,conflict_fields,promotion_eligible,shadow_trigger_reason,hypothetical_change,actual_production_impact
VC::B103::ANN-19a711d6,B103,3-Y16,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B103::ANN-6d8bbdf4,B103,3L-Y10@100C/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,,NONE
VC::B103::ANN-8e897f60,B103,3-Y20,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,BOTTOM_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B119::ANN-1ae5aa17,B119,3-Y16,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B120::ANN-8883ea68,B120,3-Y25,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,BOTTOM_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B120::ANN-f4213b73,B120,3L-Y10@100C/150/100/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,VISION_CONFLICT,VISION_CONFLICT,KEEP_DETERMINISTIC_FLAG_CONFLICT,spacing,False,BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,SPACING,NONE
VC::B121::ANN-3eb6504d,B121,4L-Y12@100C/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,,NONE
VC::B121::ANN-73c67bd2,B121,4-Y20,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B121::ANN-8a4731e2,B121,4-Y20,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B123::ANN-3f905849,B123,2-Y25,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,BOTTOM_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B123::ANN-6d809bfc,B123,4L-Y10@100/125/100C/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,,NONE
VC::B123::ANN-8ae336be,B123,6-Y20,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B126::ANN-9f081a15,B126,4L-Y10@100/150/100C/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,,NONE
VC::B126::ANN-c442e075,B126,5-Y25,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B128::ANN-5ffa56ad,B128,5-Y20,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,BOTTOM_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B128::ANN-7ac07312,B128,5-Y25,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,BOTTOM_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B128::ANN-7d45698a,B128,5L-Y12@100C/C,STIRRUP,STIRRUP,SPACING_BASED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,BEAM_ASSOCIATION_UNCERTAIN|CONFIGURED_FULL_SHADOW,,NONE
VC::B129::ANN-2274c8c2,B129,2-Y16,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B129::ANN-7aec78cb,B129,4L-Y12@\X100C/C,STIRRUP,STIRRUP,UNRESOLVED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,OCR_UNCERTAIN|SEMANTIC_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,DIAMETER|LEGS|SPACING,NONE
VC::B129::ANN-93d94c14,B129,4-Y20,LONGITUDINAL_BAR,UNKNOWN,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,ROLE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|MULTI_ANNOTATION_AMBIGUITY|CONFIGURED_FULL_SHADOW,ROLE,NONE
VC::B139::ANN-211806ab,B139,2L-Y8@\X100C/C,STIRRUP,STIRRUP,UNRESOLVED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,OCR_UNCERTAIN|SEMANTIC_UNCERTAIN|CONFIGURED_FULL_SHADOW,DIAMETER|LEGS|SPACING,NONE
VC::B142::ANN-d4d1251b,B142,2L-Y8@\X100C/C,STIRRUP,STIRRUP,UNRESOLVED,STIRRUP,STIRRUP,PARTIAL,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,OCR_UNCERTAIN|SEMANTIC_UNCERTAIN|DIFFICULT_VISUAL|CONFIGURED_FULL_SHADOW,DIAMETER|LEGS|SPACING,NONE
VC::B143::ANN-f8e9d15b,B143,3L-Y10@\X100C/C,STIRRUP,STIRRUP,UNRESOLVED,STIRRUP,STIRRUP,PARTIAL,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,OCR_UNCERTAIN|SEMANTIC_UNCERTAIN|CONFIGURED_FULL_SHADOW,DIAMETER|LEGS|SPACING|ASSOCIATION,NONE
VC::B144::ANN-48d936a3,B144,3L-Y12@\X100C/C,STIRRUP,STIRRUP,UNRESOLVED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,OCR_UNCERTAIN|SEMANTIC_UNCERTAIN|CONFIGURED_FULL_SHADOW,DIAMETER|LEGS|SPACING,NONE
VC::B178::ANN-41e4a18e,B178,2L-Y8@\X100C/C,STIRRUP,STIRRUP,UNRESOLVED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,OCR_UNCERTAIN|SEMANTIC_UNCERTAIN|DIFFICULT_VISUAL|CONFIGURED_FULL_SHADOW,DIAMETER|LEGS|SPACING,NONE
VC::B46::ANN-a09ab748,B46,4L-Y10@\X100/150/100C/C,STIRRUP,STIRRUP,UNRESOLVED,STIRRUP,STIRRUP,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,OCR_UNCERTAIN|SEMANTIC_UNCERTAIN|CONFIGURED_FULL_SHADOW,DIAMETER|LEGS|SPACING,NONE
VC::B58::ANN-a0c82bbe,B58,3L-Y12@\X100C/C,STIRRUP,STIRRUP,UNRESOLVED,SIDE_FACE_REINFORCEMENT,SIDE_FACE,RESOLVED,VISION_CONFLICT,VISION_WRONG,KEEP_DETERMINISTIC_FLAG_VISION_ERROR,type|role,False,OCR_UNCERTAIN|SEMANTIC_UNCERTAIN|DIFFICULT_VISUAL|CONFIGURED_FULL_SHADOW,TYPE|ROLE|DIAMETER|LEGS|SPACING,NONE
VC::B96A::ANN-2a029aa5,B96A,SIDE.FACE.REINFORCEMENT. DETAILS FOR BEAM,UNKNOWN,UNKNOWN,UNRESOLVED,SIDE_FACE_REINFORCEMENT,SIDE_FACE,RESOLVED,VISION_ONLY_RESOLVED,VISION_ONLY_RESOLVED,SHADOW_ONLY_VISION_RESOLUTION,,True,SEMANTIC_UNCERTAIN|ROLE_UNCERTAIN|TYPE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|SIDE_FACE_CANDIDATE|CONFIGURED_FULL_SHADOW,TYPE|ROLE,NONE
VC::B96A::ANN-9114a4de,B96A,S.F.R.ON EACH FACE,UNKNOWN,UNKNOWN,UNRESOLVED,SIDE_FACE_REINFORCEMENT,SIDE_FACE,RESOLVED,VISION_ONLY_RESOLVED,VISION_ONLY_RESOLVED,SHADOW_ONLY_VISION_RESOLUTION,,True,SEMANTIC_UNCERTAIN|ROLE_UNCERTAIN|TYPE_UNCERTAIN|BEAM_ASSOCIATION_UNCERTAIN|SIDE_FACE_CANDIDATE|CONFIGURED_FULL_SHADOW,TYPE|ROLE,NONE
VC::B97A::ANN-d7128f62,B97A,4-Y25,LONGITUDINAL_BAR,TOP_BAR,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,CONFIGURED_FULL_SHADOW,,NONE
VC::B98A::ANN-2a9913fa,B98A,4-Y25,LONGITUDINAL_BAR,TOP_BAR,EXPLICIT,LONGITUDINAL_BAR,TOP_BAR,RESOLVED,BOTH_AGREE,BOTH_AGREE,KEEP_DETERMINISTIC,,False,CONFIGURED_FULL_SHADOW,,NONE
